provinsi,kota,nik,nama,tempat,tgl_lahir,jenis_kelamin,golongan_darah,alamat,rt/rw,kel/desa,kecamatan,agama,status,pekerjaan,kewarganegaraan,masa_berlaku,terbuat,pas_photo
BALI,DENPASAR,5916970004148509,Shawna Lashonda,tvfmmcuw,02-06-1991,LAKI-LAKI,A,jl. hkkcx ropnvce 0,210/287,denpasar,denpasar utara,HINDU,KAWIN,tqxvmqsifmnw,WNI,SEUMUR HIDUP,17-05-2021,src/image.jpeg
BALI,DENPASAR,5544190765847767,Aretha Corrie,ymqizbco,04-11-2008,PEREMPUAN,O,jl. wmezw peaqlir 8,831/134,denpasar,denpasar utara,KONGHUCU,BELUM KAWIN,vassplyxnwma,WNI,SEUMUR HIDUP,18-04-2022,src/image.jpeg
BALI,DENPASAR,5624666946511501,Alvin Matthew,twfhnwxt,22-06-1992,LAKI-LAKI,B,jl. lpovn fhcxifr 3,139/851,denpasar,denpasar utara,HINDU,KAWIN,viuhrwtzimul,WNI,SEUMUR HIDUP,01-02-2022,src/image.jpeg
BALI,DENPASAR,5037781665663633,Alaine Buford,hvjlulbc,04-04-2001,LAKI-LAKI,O,jl. fufzs tijrvod 1,596/996,denpasar,denpasar utara,KONGHUCU,KAWIN,wjlziqekfdrk,WNI,SEUMUR HIDUP,30-08-2021,src/image.jpeg
BALI,DENPASAR,5470070706814057,Jesse Arnold,waefylre,05-10-2019,LAKI-LAKI,AB,jl. gilff nhkaxiz 1,438/908,denpasar,denpasar utara,KONGHUCU,BELUM KAWIN,caakknnzgxtp,WNI,SEUMUR HIDUP,24-12-2021,src/image.jpeg
BALI,DENPASAR,5967529853786130,Adam Lashonda,mjsfoazo,18-08-2013,PEREMPUAN,A,jl. srnjy ydthyzc 0,286/745,denpasar,denpasar utara,KATOLIK,BELUM KAWIN,fcwhwymswibu,WNI,SEUMUR HIDUP,27-11-2021,src/image.jpeg
BALI,DENPASAR,5572997604702205,Madalyn Bart,qzegqepg,04-02-2009,PEREMPUAN,O,jl. gzkdz hfapngc 1,849/249,denpasar,denpasar utara,ISLAM,BELUM KAWIN,hfkgejvtjwnh,WNI,SEUMUR HIDUP,22-02-2022,src/image.jpeg
BALI,DENPASAR,5352877684279560,Juan Willard,lzmkedhb,02-02-2004,LAKI-LAKI,O,jl. nlunf egzxxry 3,081/780,denpasar,denpasar utara,KONGHUCU,KAWIN,nskbzlfldmai,WNI,SEUMUR HIDUP,29-05-2021,src/image.jpeg
BALI,DENPASAR,5360349334615789,Harry Dillon,dwegtlgc,01-01-1992,LAKI-LAKI,O,jl. lakwt kgrivrp 5,702/278,denpasar,denpasar utara,KONGHUCU,BELUM KAWIN,kzozltbhilga,WNI,SEUMUR HIDUP,02-02-2022,src/image.jpeg
BALI,DENPASAR,5866847898535801,Kandice Malik,cbhkimdh,27-09-2010,PEREMPUAN,O,jl. opgjk egjhnnq 2,245/871,denpasar,denpasar utara,KONGHUCU,BELUM KAWIN,xzoqimtdzyva,WNI,SEUMUR HIDUP,28-04-2022,src/image.jpeg
